List,Value,Status,Source
TOPONYM,ISLAMABAD,ACTIVE,
TOPONYM,ISLAMKOT,ACTIVE,
TOPONYM,AFGHANISTAN,ACTIVE,
TOPONYM,CASABLANCA,ACTIVE,
TOPONYM,HARYANA,ACTIVE,
TOPONYM,KURDISTAN,ACTIVE,
TOPONYM,GAZIANTEP,ACTIVE,
TOPONYM,GAZA,ACTIVE,
TOPONYM,ALEPPO,ACTIVE,
TOPONYM,RAQQA,ACTIVE,
TOPONYM,IDLIB,ACTIVE,
TOPONYM,KABUL,ACTIVE,
TOPONYM,KANDAHAR,ACTIVE,
TOPONYM,JALALABAD,ACTIVE,
TOPONYM,PESHAWAR,ACTIVE,
TOPONYM,KARACHI,ACTIVE,
SECULAR,EVENT,ACTIVE,
SECULAR,GALA,ACTIVE,
SECULAR,BALL,ACTIVE,
SECULAR,DINNER,ACTIVE,
SECULAR,CONCERT,ACTIVE,
SECULAR,FESTIVAL,ACTIVE,
SECULAR,MARATHON,ACTIVE,
SECULAR,RUN,ACTIVE,
SECULAR,RACE,ACTIVE,
SECULAR,RAFFLE,ACTIVE,
SECULAR,AUCTION,ACTIVE,
SECULAR,TOURNAMENT,ACTIVE,
SECULAR,GOLF,ACTIVE,
SECULAR,SHOP,ACTIVE,
SECULAR,STORE,ACTIVE,
SECULAR,SPORTS,ACTIVE,
SECULAR,CLUB,ACTIVE,
RELIGIOUS,SISTERS OF,ACTIVE,
RELIGIOUS,BROTHERS OF,ACTIVE,
RELIGIOUS,DAUGHTERS OF,ACTIVE,
RELIGIOUS,CONGREGATION,ACTIVE,
RELIGIOUS,PARISH,ACTIVE,
RELIGIOUS,DIOCESE,ACTIVE,
RELIGIOUS,CATHEDRAL,ACTIVE,
RELIGIOUS,CHURCH,ACTIVE,
RELIGIOUS,CHAPEL,ACTIVE,
RELIGIOUS,MONASTERY,ACTIVE,
RELIGIOUS,CONVENT,ACTIVE,
RELIGIOUS,MISSION,ACTIVE,
RELIGIOUS,SAINT,ACTIVE,
RELIGIOUS,CATHOLIC,ACTIVE,
RELIGIOUS,PROTESTANT,ACTIVE,
RELIGIOUS,METHODIST,ACTIVE,
RELIGIOUS,ANGLICAN,ACTIVE,
RELIGIOUS,BAPTIST,ACTIVE,
RELIGIOUS,SALVATION ARMY,ACTIVE,
BANK,BANK,ACTIVE,
BANK,BANKING,ACTIVE,
BANK,BANQUE,ACTIVE,
BANK,BANCO,ACTIVE,
BANK,BANCA,ACTIVE,
BANK,BK,ACTIVE,
BANK,FINANCIAL,ACTIVE,
BANK,FINANCE,ACTIVE,
BANK,CREDIT,ACTIVE,
BANK,SAVINGS,ACTIVE,
BANK,COOPERATIVE,ACTIVE,
